scheduler,dataset,count,avg_waiting_time_s,avg_service_time_s,p95_service_time_s,avg_completion_time_s,input_tokens,output_tokens,total_tokens
fcfs,gsm8k,200,790.3850682972767,11.00844268721994,23.109054743032885,801.3935109844966,274904,88828,363732
fcfs,strategyqa,200,827.2814759259298,19.09473217511084,34.51327855144626,846.3762081010407,599652,219224,818876
fcfs,mmlu_pro,200,861.9433023547451,23.72232257177122,72.08532902880097,885.6656249265163,1253718,316478,1570196
fcfs,math,200,753.494621823309,41.538562469286845,91.77306555036915,795.0331842925958,2249353,444430,2693783
fcfs,mbpp,200,802.0750105354352,36.02830841379473,58.8525451854337,838.10331894923,1264822,464503,1729325
fcfs,hotpotqa,200,816.5116300915834,27.559186733546667,44.02744632307439,844.07081682513,5794421,287678,6082099
fcfs,swebench_verified,200,918.2661723119113,82.85343420330435,152.59464730820613,1001.1196065152158,13890287,1370004,15260291
sjf,gsm8k,200,3.092580147217959,7.972137084549758,13.694582267338406,11.064717231767718,260797,75981,336778
sjf,strategyqa,200,1.1731766356690787,15.315816079971846,23.813326847460118,16.488992715640926,598275,220387,818662
sjf,mmlu_pro,200,4.699822300400119,23.361428859787992,70.56048527166706,28.061251160188114,1124746,271427,1396173
sjf,math,200,1.6693445507530122,42.97083355865441,100.98616494478185,44.64017810940742,2336887,475114,2812001
sjf,mbpp,200,2.306943876806181,35.74386924176011,67.51704400572923,38.050813118566296,1251013,457574,1708587
sjf,hotpotqa,200,423.5662753342115,156.0325111681246,641.1202232913798,579.5987865023361,5895842,308497,6204339
sjf,swebench_verified,200,1578.5968715233962,397.1653869686136,580.9970174678094,1975.7622584920098,13781245,1310330,15091575
sailp,gsm8k,200,3.8704292090982197,1057.9702161256596,3683.4348911974575,1061.840645334758,262788,76891,339679
sailp,strategyqa,200,3.4628910617204385,53.994578970950094,158.33197461091902,57.457470032670535,602493,219311,821804
sailp,mmlu_pro,200,4.103931226045825,45.13816722479649,114.63834442831555,49.24209845084231,1234496,307431,1541927
sailp,math,200,3.3776625713380053,6173.769187020702,10086.914480214566,6177.146849592039,2337304,466241,2803545
sailp,mbpp,200,3.6418511691037567,4535.222953778771,8656.719641605252,4538.864804947874,1233836,445948,1679784
sailp,hotpotqa,200,3.194737492366694,4979.582119985936,9167.997306211013,4982.776857478302,5893211,310725,6203936
sailp,swebench_verified,200,3.5823507368704304,5373.091368773263,9708.717504367418,5376.673719510133,13763227,1319622,15082849
rhsail,gsm8k,200,409.47748601182366,13.797883670693263,38.62763711451552,423.2753696825169,276246,82731,358977
rhsail,strategyqa,200,424.5910495736916,40.67113746096846,63.49158930215052,465.26218703466003,616077,227619,843696
rhsail,mmlu_pro,200,617.1618755480227,32.88889368484262,102.21591457487078,650.0507692328654,1287389,328796,1616185
rhsail,math,200,864.748797575538,96.00556820476893,139.66743711056188,960.754365780307,2227176,437771,2664947
rhsail,mbpp,200,674.442573325024,68.79762724353932,89.1131219298113,743.2402005685633,1256829,458270,1715099
rhsail,hotpotqa,200,804.2635812649131,75.78424346197862,109.86165563114916,880.0478247268917,5895563,312215,6207778
rhsail,swebench_verified,200,1267.9722807546052,156.20745246626902,216.87188880918535,1424.1797332208744,13575334,1279845,14855179
darc,gsm8k,200,5867.009176250244,13.78714833769016,25.551811126945534,5880.796324587935,278575,86246,364821
darc,strategyqa,200,789.2621145616845,31.237978678643703,72.3718384629581,820.5000932403282,622466,231675,854141
darc,mmlu_pro,200,26.06617823596578,84.35016704644542,165.46686729285864,110.4163452824112,1171362,286731,1458093
darc,math,200,3171.4951441634494,64.43627388593741,143.23883527852584,3235.9314180493866,2335096,453053,2788149
darc,mbpp,200,1413.8889729001232,55.919176769196056,118.86833682414135,1469.8081496693194,1289354,474979,1764333
darc,hotpotqa,200,127.30466170566156,133.42868350697216,253.89872636692596,260.7333452126337,5839904,299065,6138969
darc,swebench_verified,200,320.42904830253684,493.35620209863873,2665.9158628667237,813.7852504011756,13637478,1285215,14922693
