scheduler,internal_device,physical_gpu,busy_seconds,union_busy_seconds,running_time_pct,output_tokens_per_second
fcfs,0,3,10274.827023364604,10274.827023364604,88.77817539729168,53.31705202222246
fcfs,1,4,10414.854133765679,10414.854133765679,89.98805964539571,54.451098901493324
fcfs,2,5,10582.405182306189,10582.405182306189,91.43576054989802,54.886227288846314
fcfs,3,6,10800.23263249034,10800.23263249034,93.31786752209509,55.4452583980945
fcfs,4,7,10970.713688835502,10970.713688835502,94.79088474055627,57.62668937416699
sjf,0,3,9919.55797205912,9919.55797205912,88.56988707339227,53.68842223405368
sjf,1,4,10031.866973974276,10031.866973974276,89.57267325045476,55.05551292982912
sjf,2,5,10299.877493963111,10299.877493963111,91.96568930588334,55.2322141568515
sjf,3,6,10432.141890860628,10432.141890860628,93.14665349098522,57.19985687534169
sjf,4,7,10616.307053709403,10616.307053709403,94.79102995637955,57.34137857560974
sailp,0,3,10079.011169439182,10079.011169439182,88.73748263921406,55.02316511291738
sailp,1,4,10185.664332425222,10185.664332425222,89.67647685598679,53.16240053586598
sailp,2,5,10296.35935706459,10296.35935706459,90.65105637197813,55.57844508393528
sailp,3,6,10606.816379828379,10606.816379828379,93.38437754848961,56.54144687924109
sailp,4,7,10805.247378843836,10805.247378843836,95.13140084613279,56.68909306782473
rhsail,0,3,9986.795349840075,9986.795349840075,85.86408367424787,52.19365639670116
rhsail,1,4,10131.563332076184,10131.563332076184,87.1087642454055,52.67882807310037
rhsail,2,5,10348.869532799348,10348.869532799348,88.97711111226359,53.99523132267478
rhsail,3,6,10531.581848459318,10531.581848459318,90.5480280090832,54.49407343971683
rhsail,4,7,10712.334477502853,10712.334477502853,92.10209598793517,55.51144654743115
darc,0,3,10082.482908498496,10082.482908498496,83.74849741522048,51.209977591351745
darc,1,4,10272.103203780018,10272.103203780018,85.32354742555796,50.994926535202424
darc,2,5,10165.806178241037,10165.806178241037,84.44060854538458,51.67903642258975
darc,3,6,10353.100334381685,10353.100334381685,85.99633686089797,52.14045342409978
darc,4,7,10477.936905059963,10477.936905059963,87.03327144453733,52.88112946414748
