scheduler,physical_gpu,samples,avg_gpu_util_pct,p95_gpu_util_pct,avg_memory_mib,max_memory_mib,avg_power_w
rhsail,3,2276,75.36643233743409,94.0,31360.47100175747,32932.0,232.8399560632689
rhsail,4,2276,75.6775043936731,93.0,32272.178383128296,32567.0,250.31499999999997
rhsail,5,2276,77.63971880492092,93.0,31606.61950790861,31797.0,265.02833479789103
rhsail,6,2276,78.52152899824253,92.0,31561.40158172232,31769.0,244.1629920913884
rhsail,7,2276,79.73462214411248,92.0,31905.834797891035,32153.0,266.7557469244288
darc,3,2353,73.407989800255,93.0,31986.781555461115,32179.0,226.35459838504036
darc,4,2353,72.58946026349341,91.0,31585.30599235019,31755.0,241.75756481087976
darc,5,2353,74.08669783255418,93.0,32340.140671483212,32649.0,257.1504717382066
darc,6,2353,74.60518487037824,93.0,31991.84487887803,32231.0,234.0636464088398
darc,7,2353,77.23161920951976,94.0,31541.440288992777,31757.0,262.58504887377813
