metric,scheduler,vs_fcfs_pct
system_makespan,sjf,-3.2306275499407566
system_makespan,sailp,-1.8607989671702962
system_makespan,rhsail,0.49542855145163767
system_makespan,darc,4.021273495027922
total_token_throughput,sjf,2.794266143209434
total_token_throughput,sailp,1.7360891375877152
total_token_throughput,rhsail,-1.3877686775249143
total_token_throughput,darc,-4.631374500574248
output_token_throughput,sjf,1.0122569097793743
output_token_throughput,sailp,0.4599577825697754
output_token_throughput,rhsail,-2.485468219518694
output_token_throughput,darc,-6.1005428072030465
average_waiting_time,sjf,-65.07591103169477
average_waiting_time,sailp,-99.56266827922369
average_waiting_time,rhsail,-12.258316704942517
average_waiting_time,darc,103.04232293030968
average_service_time,sjf,180.62364844282897
average_service_time,sailp,9088.713872457596
average_service_time,rhsail,100.22448986129926
average_service_time,darc,262.4886455104022
average_completion_time,sjf,-55.193387960371496
average_completion_time,sailp,270.0080183501325
average_completion_time,rhsail,-7.734035369658576
average_completion_time,darc,109.45556992556446
p95_service_time,sjf,112.5588971934623
p95_service_time,sailp,9630.42398702556
p95_service_time,rhsail,73.98180164555788
p95_service_time,darc,178.87192375091038
ready_queue_peak,sjf,-44.72573839662447
ready_queue_peak,sailp,261.6033755274262
ready_queue_peak,rhsail,-86.07594936708861
ready_queue_peak,darc,97.46835443037976
dependency_stall,sjf,862.979648613813
dependency_stall,sailp,20488.66152553387
dependency_stall,rhsail,366.55560651941556
dependency_stall,darc,688.7071112390566
scheduler_overhead,sjf,-7.68109203551578
scheduler_overhead,sailp,27.49767276434836
scheduler_overhead,rhsail,350.46241272425027
scheduler_overhead,darc,792.6668029910788
