scheduler,physical_gpu,samples,avg_gpu_util_pct,p95_gpu_util_pct,max_memory_gib,avg_power_w
fcfs,3,2308,77.07712305025997,93.0,30.6318359375,235.11488301559794
fcfs,4,2308,76.2261698440208,94.0,31.4326171875,248.78029896013862
fcfs,5,2308,74.9233102253033,92.0,31.4521484375,255.19346187175043
fcfs,6,2308,74.95320623916811,91.0,31.0146484375,231.28280329289427
fcfs,7,2308,74.36741767764298,91.0,31.0361328125,250.44814991334488
sjf,3,2319,76.30789133247089,92.0,32.2333984375,235.7739887882708
sjf,4,2319,75.8197498921949,93.0,31.0615234375,251.3339974126779
sjf,5,2319,75.42604570935748,91.0,30.6318359375,258.2428244933161
sjf,6,2319,76.05433376455369,94.0,31.0166015625,237.1531522207848
sjf,7,2319,73.92583009918069,91.0,31.0439453125,253.44014230271665
rhsail,3,2382,72.06591099916037,91.0,30.6318359375,224.75924433249367
rhsail,4,2382,75.38203190596138,95.0,30.6318359375,248.2614147774979
rhsail,5,2382,72.85054575986565,92.0,31.4345703125,251.89364819479425
rhsail,6,2382,72.9416456759026,92.0,31.4306640625,226.72406801007557
rhsail,7,2382,73.82115869017632,93.0,31.8173828125,252.02248110831232
