rate,dataset,scheduler,count,avg_service_s,avg_run_time_s
0.03,gsm8k,fcfs,50,6.513123352713883,6.007841136176139
0.03,hotpotqa,fcfs,50,19.797360294722026,27.462666044868527
0.03,math,fcfs,50,43.76415582275018,42.66716116845608
0.03,mbpp,fcfs,50,31.25396997751668,36.47100094532594
0.03,mmlu_pro,fcfs,50,18.539485753551126,29.60287536563352
0.03,strategyqa,fcfs,50,14.155683740079404,17.809903170764446
0.03,swebench_verified,fcfs,50,67.1562254103832,109.63952836178242
0.03,gsm8k,sjf,50,6.171786548271776,5.85108432887122
0.03,hotpotqa,sjf,50,19.159820053949957,25.935765271037816
0.03,math,sjf,50,36.775295137241486,35.96919520907104
0.03,mbpp,sjf,50,30.25475596833974,35.839704472143204
0.03,mmlu_pro,sjf,50,16.020074941981584,22.11652657704428
0.03,strategyqa,sjf,50,14.2685718427971,18.22955261418596
0.03,swebench_verified,sjf,50,69.78302965518087,111.89960793716833
0.03,gsm8k,rhsail,50,6.537282621972263,6.182077488917858
0.03,hotpotqa,rhsail,50,19.653051059506836,26.75915500216186
0.03,math,rhsail,50,33.34818086726591,32.17777826109901
0.03,mbpp,rhsail,50,30.78544180104509,37.051184094697234
0.03,mmlu_pro,rhsail,50,15.248037725482137,22.22127553420141
0.03,strategyqa,rhsail,50,13.498919013459236,16.70746108405292
0.03,swebench_verified,rhsail,50,66.3163997563161,108.89424642484636
0.12,gsm8k,fcfs,50,9.77235993962735,6.091041723098606
0.12,hotpotqa,fcfs,50,29.37307051682845,28.49794935822487
0.12,math,fcfs,50,40.28403601344675,35.526035602875055
0.12,mbpp,fcfs,50,34.59147234007716,36.82825128706172
0.12,mmlu_pro,fcfs,50,19.639724707007407,22.20077753458172
0.12,strategyqa,fcfs,50,17.45827870255336,17.507139044869692
0.12,swebench_verified,fcfs,50,74.80994369694963,110.18673236258329
0.12,gsm8k,sjf,50,8.292129816599191,6.836116685625166
0.12,hotpotqa,sjf,50,44.88371009884402,26.05980177585036
0.12,math,sjf,50,37.272008555866776,33.81721506845206
0.12,mbpp,sjf,50,32.86652780383825,35.858297747951
0.12,mmlu_pro,sjf,50,18.900465302411465,21.55866971531883
0.12,strategyqa,sjf,50,16.247157439794393,18.06579059796408
0.12,swebench_verified,sjf,50,210.7632432177849,111.50440375808628
0.12,gsm8k,rhsail,50,14.946898683365434,8.744829358197748
0.12,hotpotqa,rhsail,50,58.711851097643375,24.18288197208196
0.12,math,rhsail,50,61.06324966719374,34.0491435578838
0.12,mbpp,rhsail,50,52.008458557873965,37.52903961397708
0.12,mmlu_pro,rhsail,50,22.55982231743634,18.818511544335635
0.12,strategyqa,rhsail,50,24.28524942629039,17.993695098981263
0.12,swebench_verified,rhsail,50,130.8249200241454,111.90049678234384
0.15,gsm8k,fcfs,50,10.527885177675635,6.9616834745369855
0.15,hotpotqa,fcfs,50,28.00238239051774,26.079016837943342
0.15,math,fcfs,50,42.92495759543032,38.22457115972415
0.15,mbpp,fcfs,50,32.60994724281132,35.1299021503143
0.15,mmlu_pro,fcfs,50,21.05234140958637,23.16124470021576
0.15,strategyqa,fcfs,50,20.1047264879942,18.927554193828254
0.15,swebench_verified,fcfs,50,79.65694742228835,110.86220550768076
0.15,gsm8k,sjf,50,8.971071753967554,7.105350793879479
0.15,hotpotqa,sjf,50,98.28500284107402,28.221906496472656
0.15,math,sjf,50,45.78037476697936,42.1922876059264
0.15,mbpp,sjf,50,35.27229833355173,36.704579153899104
0.15,mmlu_pro,sjf,50,18.776406396627426,18.296988441385327
0.15,strategyqa,sjf,50,15.698619093596935,17.53323066143319
0.15,swebench_verified,sjf,50,246.00869680488483,103.42503605093808
0.15,gsm8k,rhsail,50,18.77829223383218,7.226053332425653
0.15,hotpotqa,rhsail,50,82.68079889202491,26.57118559734896
0.15,math,rhsail,50,100.99541064321994,35.041338818371294
0.15,mbpp,rhsail,50,66.8325065870583,36.68254229815677
0.15,mmlu_pro,rhsail,50,41.92343049837277,22.96254008481279
0.15,strategyqa,rhsail,50,41.07211273197085,17.053082953896375
0.15,swebench_verified,rhsail,50,167.40506674516945,118.64715531203896
