hardware,rate,scheduler,makespan_s,arrival_end_s,drain_tail_s,input_tokens_per_s,output_tokens_per_s,total_tokens_per_s,avg_wait_s,avg_run_time_s,avg_service_s,p99_service_s,max_service_s,avg_completion_s,p99_completion_s,max_completion_s,p95_max_gap_s,scheduler_overhead_s,scheduler_overhead_pct,ready_queue_avg,ready_queue_peak,device_busy_pct
Ascend 910B4,0.03,fcfs,12902.2,11929.5,972.8,537.1,61.0,598.1,170.3,164.0,139.2,641.9,1097.2,309.5,969.2,1460.3,44.2,215.6,1.67,1.3,23,89.0
Ascend 910B4,0.03,sjf,12171.8,11929.5,242.3,552.8,62.1,614.9,39.6,157.2,197.7,1636.0,4907.2,237.3,2505.0,5041.5,224.2,114.3,0.94,1.3,28,90.4
Ascend 910B4,0.03,rhsail,12698.6,11929.4,769.2,536.7,62.1,598.8,187.1,163.3,164.1,647.7,988.4,351.1,2214.3,3068.0,57.2,219.0,1.72,0.6,21,90.0
Ascend 910B4,0.12,fcfs,11805.4,2982.6,8822.8,578.1,67.5,645.6,4194.6,162.7,138.6,513.0,821.0,4333.2,8659.4,8854.0,53.8,56.8,0.48,121.5,257,96.5
Ascend 910B4,0.12,sjf,11571.0,2982.5,8588.5,584.4,65.9,650.4,2548.2,157.8,224.2,2898.7,7331.2,2772.4,9966.8,11042.2,132.5,79.7,0.69,91.2,219,95.5
Ascend 910B4,0.12,rhsail,11928.4,2982.6,8945.7,576.2,67.6,643.8,2822.1,163.7,173.1,761.4,820.2,2995.2,9848.3,10341.6,57.8,167.2,1.4,4.3,21,96.1
A800,0.03,fcfs,11938.265708561989,11930.250888880342,8.01481968164444,578.1505595950912,67.61065800546879,645.7612176005599,3.1017188683684385,38.52299659900101,28.740000621673783,149.93314618069678,224.95440501905975,31.841719490042223,193.29615380522785,262.55950839817524,0.6224751061294229,3397.7311910735443,28.460844095945447,0.0037980669528112,9,22.587952285197453
A800,0.03,sjf,11937.733141670937,11930.187422228975,7.545719441957772,569.5897972676789,65.00086664622725,634.5906639139063,0.1925079135463706,36.548776629931695,27.49047630682321,128.54151394901794,182.48383622989056,27.682984220369587,128.65419462022368,182.49534340947864,0.6948511317372325,3451.711810185574,28.914298629584167,0.0036350097637699,13,21.431324806253084
A800,0.03,rhsail,11967.107343313284,11930.273081572726,36.83426174055785,568.1467379666345,62.56507763493531,630.7118156015698,0.2490620820277503,35.71331112713952,26.483901835006797,98.72360834230666,161.24267348088324,26.732963917034542,98.81178936875423,161.3900330569595,0.798184916051105,3622.928701669909,30.274055356361863,0.0033543132278781,8,20.890025527318624
A800,0.12,fcfs,3047.762469569221,2982.598296112381,65.16417345684022,2255.0113628019744,254.25472218953055,2509.266084991505,49.128664201303785,36.69113241618499,32.27555513092716,106.86499449628404,192.9256099918857,81.40421933223094,193.1750687276106,247.4576987111941,13.190871758526198,65.01674488652498,2.133261549602145,2.2322608695652173,22,84.27097894856522
A800,0.12,sjf,3060.774573836476,2982.6013948554173,78.1731789810583,2228.2385832326804,250.5159989743712,2478.754582207052,11.520659387321876,36.24289933560682,52.74646317644843,678.7696126033737,1332.1708876173943,64.2671225637703,925.062203301822,1510.6780342385173,67.37345599420371,65.18412261363119,2.1296610070805464,1.8694736842105264,38,82.88761201751996
A800,0.12,rhsail,3096.1470028655604,2982.906412035227,113.24059083033352,2191.301638365586,246.1407676362488,2437.4424060018346,14.544058892894537,36.17408541825733,52.05720711056409,186.38098330677485,221.4918478867039,66.60126600345863,367.7780421641189,768.8108589379117,61.024864640552565,171.93922385387123,5.553328821103689,1.8367427611424052,22,81.78506953753852
